epoch,mem_used_mb,mem_available_mb,swap_used_mb,si,so,load1
1786098144,864,1043,391,0,0,1.47
1786098154,864,1043,391,0,0,1.40
1786098164,864,1043,391,0,0,1.34
1786098174,865,1042,391,0,0,1.29
1786098184,1131,776,391,0,0,1.56
1786098194,1148,759,391,0,0,2.17
1786098204,1153,754,391,0,0,2.45
1786098214,1168,738,391,2,0,2.45
1786098224,1183,724,391,0,0,2.84
1786098234,1183,724,391,0,0,3.25
1786098244,872,1035,391,0,0,3.29
1786098254,874,1032,385,688,0,2.93
1786098264,873,1034,385,0,0,2.64
1786098274,874,1033,385,0,0,2.46
1786098284,877,1030,385,0,0,2.23
1786098294,877,1030,385,0,0,2.04
1786098304,884,1023,385,0,0,1.88
1786098314,883,1023,385,0,0,1.75
1786098324,881,1026,385,0,0,1.63
1786098334,881,1026,385,0,0,1.53
1786098344,881,1026,385,0,0,1.53
1786098354,881,1026,385,0,0,1.45
1786098364,881,1026,385,0,0,1.46
1786098374,881,1026,385,0,0,1.39
1786098384,881,1026,385,0,0,1.41
1786098395,869,1038,385,0,0,1.35
1786098405,1047,860,384,10,0,1.29
1786098415,886,1021,384,0,0,1.24
1786098425,886,1021,384,0,0,1.28
1786098435,1175,732,384,0,0,1.78
1786098445,1172,735,384,0,0,2.28
1786098455,1174,733,384,0,0,2.71
1786098465,1189,718,384,0,0,2.91
1786098475,1191,716,384,0,0,2.91
1786098485,1191,716,384,0,0,3.08
1786098495,915,992,384,4,0,2.75
1786098505,914,992,384,0,0,2.48
1786098515,914,992,384,0,0,2.26
1786098525,926,980,384,0,0,2.14
1786098535,926,981,384,1,0,1.97
1786098545,926,981,384,0,0,1.82
1786098555,926,981,384,0,0,1.77
1786098565,926,981,384,0,0,1.65
1786098575,926,981,384,0,0,1.63
1786098585,926,981,384,0,0,1.53
1786098595,926,981,384,0,0,1.45
1786098605,926,981,384,0,0,1.46
1786098615,926,981,384,0,0,1.54
1786098625,926,981,384,0,0,1.45
1786098635,923,984,384,0,0,1.38
1786098645,922,985,384,0,0,1.33
1786098655,922,984,384,0,0,1.35
1786098665,921,986,384,0,0,1.45
1786098675,1167,739,384,0,0,2.07
1786098685,1178,729,384,0,0,2.37
1786098695,1183,724,384,0,0,2.63
1786098705,1194,713,384,0,0,2.92
1786098716,1193,714,384,0,0,3.00
1786098726,914,993,384,0,0,3.07
1786098736,931,976,384,0,0,2.83
1786098746,933,974,384,0,0,2.63
1786098756,933,974,384,0,0,2.38
1786098766,933,974,384,0,0,2.16
1786098776,933,974,384,0,0,1.99
1786098786,932,974,384,0,0,1.83
1786098796,932,974,384,0,0,1.70
1786098806,933,974,384,0,0,1.60
1786098816,933,974,384,0,0,1.50
1786098826,936,970,384,0,0,1.43
1786098836,936,970,384,0,0,1.36
1786098846,936,971,384,0,0,1.30
1786098856,937,970,384,0,0,1.26
1786098866,936,970,384,0,0,1.22
1786098876,936,971,384,0,0,1.18
1786098886,936,970,384,0,0,1.15
1786098896,1180,727,384,2,0,1.69
1786098906,1177,729,384,0,0,2.12
1786098916,1183,724,384,0,0,2.41
